doi,status,title,year,url
10.1016/j.enpol.2009.10.049,verified,"Techno-economical analysis of off-grid hybrid systems at Kutubdia Island, Bangladesh",2010,https://doi.org/10.1016/j.enpol.2009.10.049
10.1016/j.jclepro.2017.05.200,verified,Examining industrial structure changes and corresponding carbon emission reduction effect by combining input-output analysis and social network analysis: A comparison study of China and Japan,2017,https://doi.org/10.1016/j.jclepro.2017.05.200
10.1088/1748-9326/abfba1,verified,The environmental footprint of data centers in the United States,2021,https://doi.org/10.1088/1748-9326/abfba1
10.1126/science.aba3758,verified,Recalibrating global data center energy-use estimates,2020,https://doi.org/10.1126/science.aba3758
10.1177/01600176221145874,verified,StateIO - Open Source Economic Input-Output Models for the 50 States of the United States of America,2022,https://doi.org/10.1177/01600176221145874
10.3386/w20975,verified,A Quantitative Analysis of Subsidy Competition in the U.S.,2015,https://doi.org/10.3386/w20975
10.3886/icpsr00034,verified,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984,https://doi.org/10.3886/icpsr00034
10.5281/zenodo.18327825,invalid,,,
10.5281/zenodo.20630461,invalid,,,
10.5281/zenodo.21024220,invalid,,,
10.5281/zenodo.21084725,invalid,,,
