doi,title,year,container,authors,URL,source
10.1002/pmj.21409,What you Should Know about Megaprojects and Why: An Overview,2014,Project Management Journal,Bent Flyvbjerg,https://doi.org/10.1002/pmj.21409,crossref
10.1002/we.2404,Wind turbine reliability data review and impacts on levelised cost of energy,2019,Wind Energy,Cuong Dao; Behzad Kazemtabrizi; Christopher Crabtree,https://doi.org/10.1002/we.2404,crossref
10.1007/978-0-387-84858-7,The Elements of Statistical Learning,2009,Springer Series in Statistics,Trevor Hastie; Robert Tibshirani; Jerome Friedman,https://doi.org/10.1007/978-0-387-84858-7,crossref
10.1007/978-1-349-15238-4_9,Foreign Assistance and Economic Development,1967,Capital Movements and Economic Development,Hollis B. Chenery,https://doi.org/10.1007/978-1-349-15238-4_9,crossref
10.1007/978-3-540-32827-8_8,An Introduction to a Permutation Based Procedure for Multi-Group PLS Analysis: Results of Tests of Differences on Simulated Data and a Cross Cultural Analysis of the Sourcing of Information System Services Between Germany and the USA,2009,Handbook of Partial Least Squares,Wynne W. Chin; Jens Dibbern,https://doi.org/10.1007/978-3-540-32827-8_8,crossref
10.1007/978-3-642-46095-1_4,Cost Estimates as Predictors of Actual Costs: A Statistical Study of Military Developments,1967,Ökonometrie und Unternehmensforschung / Econometrics and Operations Research,Robert Summers,https://doi.org/10.1007/978-3-642-46095-1_4,crossref
10.1007/978-3-642-76817-0,Software Development and Reality Construction,1992,,,https://doi.org/10.1007/978-3-642-76817-0,crossref
10.1007/s00168-014-0621-5,"The economic development incentives game: an imperfect information, heterogeneous communities approach",2014,The Annals of Regional Science,Carlianne Patrick,https://doi.org/10.1007/s00168-014-0621-5,crossref
10.1007/s10311-023-01675-2,Green building practices to integrate renewable energy in the construction sector: a review,2023,Environmental Chemistry Letters,Lin Chen; Ying Hu; Ruiyi Wang; Xiang Li; Zhonghao Chen; Jianmin Hua; Ahmed I. Osman; Mohamed Farghali; Lepeng Huang; Jingjing Li; Liang Dong; David W. Rooney; Pow-Seng Yap,https://doi.org/10.1007/s10311-023-01675-2,crossref
10.1007/s10584-005-3484-7,Carbon Capture and Storage From Fossil Fuels and Biomass – Costs and Potential Role in Stabilizing the Atmosphere,2006,Climatic Change,Christian Azar; Kristian Lindgren; Eric Larson; Kenneth Möllersten,https://doi.org/10.1007/s10584-005-3484-7,crossref
10.1007/s11069-015-1865-9,"The influence of economic growth, urbanization, trade openness, financial development, and renewable energy on pollution in Europe",2015,Natural Hazards,Usama Al-Mulali; Ilhan Ozturk; Hooi Hooi Lean,https://doi.org/10.1007/s11069-015-1865-9,crossref
10.1007/s11356-022-19947-9,RETRACTED ARTICLE: How green finance and financial development promote green economic growth: deployment of clean energy sources in South Asia,2022,Environmental Science and Pollution Research,Muhammad Sadiq; Moataz Ahmad Amayri; Ch Paramaiah; Nguyen Hong Mai; Thanh Quang Ngo; Thi Thu Hien Phan,https://doi.org/10.1007/s11356-022-19947-9,crossref
10.1016/b978-0-444-59531-7.00018-1,Place-Based Policies,2015,Handbook of Regional and Urban Economics,,https://doi.org/10.1016/b978-0-444-59531-7.00018-1,crossref
10.1016/b978-0-444-59531-7.00020-x,Transportation Costs and the Spatial Organization of Economic Activity,2015,Handbook of Regional and Urban Economics,,https://doi.org/10.1016/b978-0-444-59531-7.00020-x,crossref
10.1016/j.apenergy.2015.10.049,Green growth: The economic impacts of large-scale renewable energy development in China,2016,Applied Energy,Hancheng Dai; Xuxuan Xie; Yang Xie; Jian Liu; Toshihiko Masui,https://doi.org/10.1016/j.apenergy.2015.10.049,crossref
10.1016/j.apenergy.2018.02.146,‘Successful’ low-carbon energy transitions at the community level? An energy justice perspective,2018,Applied Energy,Luis Mundaca; Henner Busch; Sophie Schwer,https://doi.org/10.1016/j.apenergy.2018.02.146,crossref
10.1016/j.apenergy.2025.126886,"Dynamic relationship between renewable energy, economic development, and energy security based on SVAR and ARDL-ECM models: Evidence from China",2025,Applied Energy,Taize Yu; Xi Chen; Xiaoran Liu; Hongbo Chen; Shiyi Tang; Lihang Cui; Haijiao Liu; Kunyu Niu; Xiaoshang Deng,https://doi.org/10.1016/j.apenergy.2025.126886,crossref
10.1016/j.chieco.2017.02.008,Do China's high-speed-rail projects promote local economy?—New evidence from a panel data approach,2017,China Economic Review,Xiao Ke; Haiqiang Chen; Yongmiao Hong; Cheng Hsiao,https://doi.org/10.1016/j.chieco.2017.02.008,crossref
10.1016/j.cities.2023.104659,Smart cities and sustainable development goals (SDGs): A systematic literature review of co-benefits and trade-offs,2024,Cities,Ayyoob Sharifi; Zaheer Allam; Simon Elias Bibri; Amir Reza Khavarian-Garmsir,https://doi.org/10.1016/j.cities.2023.104659,crossref
10.1016/j.diggeo.2021.100016,Unpacking algorithms as technologies of power: Syrian refugees and data experts on algorithmic governance,2021,Digital Geography and Society,Tayfun Kasapoglu; Anu Masso; Stefano Calzati,https://doi.org/10.1016/j.diggeo.2021.100016,crossref
10.1016/j.ecolecon.2012.11.003,Growing green money? Mapping community currencies for sustainable development,2013,Ecological Economics,Gill Seyfang; Noel Longhurst,https://doi.org/10.1016/j.ecolecon.2012.11.003,crossref
10.1016/j.egyr.2025.01.034,Reducing energy and economic costs in post-combustion carbon capture with intelligent amine selection system: A case study on the Abadan power plant,2025,Energy Reports,Farzin Hosseinifard; Amir Mohsen Soufeh; Mohsen Salimi; Milad Hosseinpour; Majid Amidpour,https://doi.org/10.1016/j.egyr.2025.01.034,crossref
10.1016/j.eist.2014.04.004,A grassroots sustainable energy niche? Reflections on community energy in the UK,2014,Environmental Innovation and Societal Transitions,Gill Seyfang; Sabine Hielscher; Tom Hargreaves; Mari Martiskainen; Adrian Smith,https://doi.org/10.1016/j.eist.2014.04.004,crossref
10.1016/j.eist.2016.05.002,The role of community leadership in the development of grassroots innovations,2017,Environmental Innovation and Societal Transitions,Mari Martiskainen,https://doi.org/10.1016/j.eist.2016.05.002,crossref
10.1016/j.eist.2018.03.006,A just transition for coal miners? Community identity and support from local policy actors,2018,Environmental Innovation and Societal Transitions,Adam Mayer,https://doi.org/10.1016/j.eist.2018.03.006,crossref
10.1016/j.enconman.2003.11.022,Transportation systems for CO2––application to carbon capture and storage,2004,Energy Conversion and Management,Rickard Svensson; Mikael Odenberger; Filip Johnsson; Lars Strömberg,https://doi.org/10.1016/j.enconman.2003.11.022,crossref
10.1016/j.eneco.2013.07.025,The impact of federal incentives on the adoption of hybrid electric vehicles in the United States,2013,Energy Economics,Alan Jenn; Inês L. Azevedo; Pedro Ferreira,https://doi.org/10.1016/j.eneco.2013.07.025,crossref
10.1016/j.eneco.2019.104493,How large is the effect of financial incentives on electric vehicle sales? – A global review and European analysis,2019,Energy Economics,Christiane Münzel; Patrick Plötz; Frances Sprei; Till Gnann,https://doi.org/10.1016/j.eneco.2019.104493,crossref
10.1016/j.eneco.2021.105194,"Financial development, openness, innovation, carbon emissions, and economic growth in China",2021,Energy Economics,Guangchen Li; Weixian Wei,https://doi.org/10.1016/j.eneco.2021.105194,crossref
10.1016/j.eneco.2022.105884,World energy trilemma and transformative energy developments as determinants of economic growth amid environmental sustainability,2022,Energy Economics,Irfan Khan; Abdulrasheed Zakari; Vishal Dagar; Sanjeet Singh,https://doi.org/10.1016/j.eneco.2022.105884,crossref
10.1016/j.energy.2013.12.048,"Economic growth, energy consumption and CO2 emissions in OECD (Organization for Economic Co-operation and Development)'s transport sector: A fully modified bi-directional relationship approach",2014,Energy,Behnaz Saboori; Maimunah Sapri; Maizan bin Baba,https://doi.org/10.1016/j.energy.2013.12.048,crossref
10.1016/j.energy.2015.06.101,"Dynamics of energy use, technological innovation, economic growth and trade openness in Malaysia",2015,Energy,Kazi Sohag; Rawshan Ara Begum; Sharifah Mastura Syed Abdullah; Mokhtar Jaafar,https://doi.org/10.1016/j.energy.2015.06.101,crossref
10.1016/j.energy.2016.08.014,Evaluating co-benefits of battery and fuel cell vehicles in a community in California,2016,Energy,Markus F. Felgenhauer; Matthew A. Pellow; Sally M. Benson; Thomas Hamacher,https://doi.org/10.1016/j.energy.2016.08.014,crossref
10.1016/j.energy.2022.123823,"Integrated off-grid hybrid renewable energy system optimization based on economic, environmental, and social indicators for sustainable development",2022,Energy,Rakibul Hassan; Barun K. Das; Mahmudul Hasan,https://doi.org/10.1016/j.energy.2022.123823,crossref
