doi,title,year,container,authors,URL,source
10.1002/pam.22271,ACCOUNTING FOR THE COSTS OF CRIME IN ASSESSING CRIMINAL JUSTICE POLICIES,2020,Journal of Policy Analysis and Management,,https://doi.org/10.1002/pam.22271,crossref
10.1002/pmj.21409,What you Should Know about Megaprojects and Why: An Overview,2014,Project Management Journal,Bent Flyvbjerg,https://doi.org/10.1002/pmj.21409,crossref
10.1002/sd.2086,The impact of technological innovation and public‐private partnership investment on sustainable environment in China: Consumption‐based carbon emissions analysis,2020,Sustainable Development,Zeeshan Khan; Muhsin Ali; Dervis Kirikkaleli; Salman Wahab; Zhilun Jiao,https://doi.org/10.1002/sd.2086,crossref
10.1007/978-981-16-9531-5_5,Understanding Migration into Greater Bay Area Cities in Mainland China as an Investment for Hong Kong Young Adults,2022,Cities and Social Governance Reforms,Alex Yue Feng Zhu; Ka Ho Mok,https://doi.org/10.1007/978-981-16-9531-5_5,crossref
10.1007/s00291-010-0223-2,"Quality, safety and sustainability in food distribution: a review of quantitative operations management approaches and challenges",2010,OR Spectrum,Renzo Akkerman; Poorya Farahani; Martin Grunow,https://doi.org/10.1007/s00291-010-0223-2,crossref
10.1007/s11263-021-01515-2,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-Time Semantic Segmentation,2021,International Journal of Computer Vision,Changqian Yu; Changxin Gao; Jingbo Wang; Gang Yu; Chunhua Shen; Nong Sang,https://doi.org/10.1007/s11263-021-01515-2,crossref
10.1007/s11356-021-13041-2,Towards a green economic policy framework in China: role of green investment in fostering clean energy consumption and environmental sustainability,2021,Environmental Science and Pollution Research,Israt Zahan; Shuai Chuanmin,https://doi.org/10.1007/s11356-021-13041-2,crossref
10.1007/s11356-022-23356-3,"The relationship between CO2 emissions, economic growth, available energy, and employment in SEE countries",2022,Environmental Science and Pollution Research,Petar Mitić; Aleksandra Fedajev; Magdalena Radulescu; Abdul Rehman,https://doi.org/10.1007/s11356-022-23356-3,crossref
10.1007/s11356-024-34198-6,The impact of corporate climate risk perception on green outward foreign direct investment,2024,Environmental Science and Pollution Research,Yanxi Li; Delin Meng; Lan Wang,https://doi.org/10.1007/s11356-024-34198-6,crossref
10.1007/s11831-022-09830-8,Integrating BIM and AI for Smart Construction Management: Current Status and Future Directions,2022,Archives of Computational Methods in Engineering,Yue Pan; Limao Zhang,https://doi.org/10.1007/s11831-022-09830-8,crossref
10.1007/s42524-021-0178-9,A literature review of smart warehouse operations management,2022,Frontiers of Engineering Management,Lu Zhen; Haolin Li,https://doi.org/10.1007/s42524-021-0178-9,crossref
10.1016/0165-1889(88)90043-7,Trends and random walks in macroeconomic time series,1988,Journal of Economic Dynamics and Control,Pierre Perron,https://doi.org/10.1016/0165-1889(88)90043-7,crossref
