doi,status,title,year,url
10.1016/j.econmod.2016.11.012,verified,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model",2017,https://doi.org/10.1016/j.econmod.2016.11.012
10.1016/j.jtrangeo.2018.08.007,verified,"Warehouse location choice: A case study in Los Angeles, CA",2020,https://doi.org/10.1016/j.jtrangeo.2018.08.007
10.1080/01446193.2022.2037148,verified,Influence of briefing clarity on construction projects: a fuzzy hybrid simulation approach,2022,https://doi.org/10.1080/01446193.2022.2037148
10.1086/705716,verified,Robots and Jobs: Evidence from US Labor Markets,2020,https://doi.org/10.1086/705716
10.1177/0739456x18786392,verified,Location of Warehouses and Environmental Justice,2018,https://doi.org/10.1177/0739456x18786392
10.1177/1461444819891613,verified,Machinic dispossession and augmented despotism: Digital work in an Amazon warehouse,2019,https://doi.org/10.1177/1461444819891613
10.1285/i20705948v15n3p646,invalid,,,
10.15128/r1sq87bt72t,invalid,,,
10.1594/pangaea.969572,invalid,,,
10.17632/yf9jppy5h4,invalid,,,
10.17632/yf9jppy5h4.2,invalid,,,
10.3386/w23361,verified,Nexus Tax Laws and Economies of Density in E-Commerce: A Study of Amazon’s Fulfillment Center Network,2017,https://doi.org/10.3386/w23361
10.3886/e250288,invalid,,,
10.3886/e250288v1,invalid,,,
10.3886/icpsr00034,verified,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984,https://doi.org/10.3886/icpsr00034
10.3886/icpsr00034.v1,verified,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984,https://doi.org/10.3886/icpsr00034.v1
10.3886/icpsr39247,invalid,,,
10.3886/icpsr39247.v1,invalid,,,
10.4232/1.14731,invalid,,,
10.48370/ofd/l7s6f6,invalid,,,
10.5281/zenodo.17556692,invalid,,,
10.5281/zenodo.17729852,invalid,,,
10.5281/zenodo.17729853,invalid,,,
10.5281/zenodo.18327825,invalid,,,
10.5281/zenodo.18836781,invalid,,,
10.5281/zenodo.18861232,invalid,,,
10.5281/zenodo.19348604,invalid,,,
10.5281/zenodo.19586680,invalid,,,
10.5281/zenodo.19586681,invalid,,,
10.5281/zenodo.20486775,invalid,,,
10.5281/zenodo.20630461,invalid,,,
10.5281/zenodo.20716405,invalid,,,
10.5281/zenodo.20716406,invalid,,,
10.5281/zenodo.20721171,invalid,,,
10.5281/zenodo.20721172,invalid,,,
10.5281/zenodo.20807462,invalid,,,
10.5281/zenodo.20813592,invalid,,,
10.5281/zenodo.20828339,invalid,,,
10.5281/zenodo.20928054,invalid,,,
10.5281/zenodo.20966614,invalid,,,
10.5281/zenodo.20970629,invalid,,,
10.5281/zenodo.20997998,invalid,,,
10.5281/zenodo.21005482,invalid,,,
10.5281/zenodo.21005483,invalid,,,
10.5281/zenodo.21024220,invalid,,,
10.5281/zenodo.21068333,invalid,,,
10.5281/zenodo.21070459,invalid,,,
10.5281/zenodo.21081975,invalid,,,
10.5281/zenodo.21099391,invalid,,,
10.5281/zenodo.21099867,invalid,,,
10.5281/zenodo.21099957,invalid,,,
10.5281/zenodo.21100298,invalid,,,
10.5281/zenodo.21101022,invalid,,,
10.5281/zenodo.21101054,invalid,,,
10.5281/zenodo.21101283,invalid,,,
10.5281/zenodo.21101358,invalid,,,
10.5281/zenodo.21102276,invalid,,,
10.5281/zenodo.21102305,invalid,,,
10.5281/zenodo.21102756,invalid,,,
10.5281/zenodo.21102785,invalid,,,
10.5281/zenodo.21102835,invalid,,,
10.5285/522309f8,invalid,,,
10.7910/dvn/k3p78r,invalid,,,
