record_id,source_id,asset_type,project_or_source_name,location,country,year,source_type,method,funding_or_bias_flag,capex_value,capex_currency,capex_price_year,capex_aud_2026,gfa_m2,capacity_mw,construction_jobs_peak,construction_jobs_average,construction_duration_months,construction_job_years,operations_jobs_fte,direct_jobs_only,total_supported_jobs,projected_or_realised,reported_or_derived,metric_notes,source_quote,page_or_location,source_url,full_text_file,confidence,ra_verification_status
cmp_src_0001_metric_001,cmp_src_0001,warehouse_or_logistics; data_centre_benchmark,Aljohani & Thompson (2019) [DOI: 10.1016/j.jtrangeo.2019.01.004],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: Modern fulfilment centres require significant operational headcounts far exceeding comparably sized data centres. | Quality note: High Quality / Low Risk (Direct Comparator)",,,,,unverified_candidate_source,not_started
cmp_src_0002_metric_001,cmp_src_0002,data_centre_benchmark,Good Jobs First (2024/2026),,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: 43% shortfall in realised vs. promised jobs; average subsidy cost of $1.95M per permanent data centre job. | Quality note: High Quality / Low Risk (Verified Ledger)",,,,,unverified_candidate_source,not_started
cmp_src_0003_metric_001,cmp_src_0003,unclear_or_methods_only,JLARC (2024),,,,government_or_audit,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: $928M annual sales tax exemption; returns only 48 cents per $1 abated; 3 jobs per $100M invested. | Quality note: High Quality / Low Risk (Official Audit)",,,,,unverified_candidate_source,not_started
cmp_src_0004_metric_001,cmp_src_0004,data_centre_benchmark,Sadowski (2019) [DOI: 10.1177/2053951718820549],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: Digital infrastructure operates as extractive capital, absorbing local resources with zero local clustering. | Quality note: High Quality / Low Risk (Theoretical)",,,,,unverified_candidate_source,not_started
cmp_src_0005_metric_001,cmp_src_0005,public_infrastructure_or_methods,Economic Impact Studies: Instruments for Political Shenanigans?,,,2006,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1177/0047287506288870,,unverified_candidate_source,not_started
cmp_src_0006_metric_001,cmp_src_0006,energy_or_utility,Masanet et al. (2020) [DOI: 10.1126/science.aba3758],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: Documents extreme energy density requiring massive, publicly subsidised grid upgrades. | Quality note: High Quality / Low Risk (Contextual)",,,,,unverified_candidate_source,not_started
cmp_src_0007_metric_001,cmp_src_0007,data_centre_benchmark,Minnesota LBO (2026),,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: -2.0% ROI on data centre tax exemptions; 76% of development would have occurred without the subsidy. | Quality note: High Quality / Low Risk (Empirical Evaluation)",,,,,unverified_candidate_source,not_started
cmp_src_0008_metric_001,cmp_src_0008,data_centre_benchmark,Siddik et al. (2021) [DOI: 10.1088/1748-9326/abfba1],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: Highlights high water scarcity footprint and unpriced utility concessions granted to data centres. | Quality note: High Quality / Low Risk (Empirical)",,,,,unverified_candidate_source,not_started
cmp_src_0009_metric_001,cmp_src_0009,unclear_or_methods_only,Slattery & Zidar (2020) [DOI: 10.1257/jep.34.2.90],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Claim/benchmark to verify: Establishes baseline cost per job for corporate subsidies at $12,000 to $100,000. | Quality note: High Quality / Low Risk (Foundational benchmark)",,,,,unverified_candidate_source,not_started
cmp_src_0039_metric_001,cmp_src_0039,data_centre_benchmark,Recalibrating global data center energy-use estimates,,,2020,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1126/science.aba3758,,unverified_candidate_source,not_started
cmp_src_0042_metric_001,cmp_src_0042,high_rise_or_office,"Risk and Rehabilitation: Supporting the Work of Probation Officers in the Community Reentry of Extremist Offenders, United States, 1990-2022",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. construction employment | ",,,https://www.icpsr.umich.edu/web/NACJD/studies/39247,,unverified_candidate_source,not_started
cmp_src_0041_metric_001,cmp_src_0041,energy_or_utility,"Replication Package for ""The Heterogeneous Impact of Short-Time Work: From Saved Jobs to Windfall Effects""",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. construction employment | ",,,https://zenodo.org/doi/10.5281/zenodo.20721172,,unverified_candidate_source,not_started
cmp_src_0040_metric_001,cmp_src_0040,energy_or_utility,"Replication Package for ""The Heterogeneous Impact of Short-Time Work: From Saved Jobs to Windfall Effects""",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. construction employment | ",,,https://zenodo.org/doi/10.5281/zenodo.20721171,,unverified_candidate_source,not_started
