triage_id,dedupe_key,title,year,container_or_repository,authors_or_creators,doi,url,source_origin,evidence_note,citation_audit_status,relevance_score,score_reason,asset_type_guess,evidence_role_guess,source_type_guess,funding_or_bias_flag,priority,include_for_RA,ra_next_action
cmp_src_0001,aljohani_thompson_2019_doi_10_1016_j_jtrangeo_2019_01_004,Aljohani & Thompson (2019) [DOI: 10.1016/j.jtrangeo.2019.01.004],,final synthesis evidence table,,,,final_synthesis_master_table,Claim/benchmark to verify: Modern fulfilment centres require significant operational headcounts far exceeding comparably sized data centres. | Quality note: High Quality / Low Risk (Direct Comparator),,16,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found,warehouse_or_logistics; data_centre_benchmark,context_only,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0002,good_jobs_first_2024_2026,Good Jobs First (2024/2026),,final synthesis evidence table,,,,final_synthesis_master_table,Claim/benchmark to verify: 43% shortfall in realised vs. promised jobs; average subsidy cost of $1.95M per permanent data centre job. | Quality note: High Quality / Low Risk (Verified Ledger),,16,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found,data_centre_benchmark,capex; realised_or_audit,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0003,jlarc_2024,JLARC (2024),,final synthesis evidence table,,,,final_synthesis_master_table,Claim/benchmark to verify: $928M annual sales tax exemption; returns only 48 cents per $1 abated; 3 jobs per $100M invested. | Quality note: High Quality / Low Risk (Official Audit),,15,appears in final synthesis evidence table; employment/capex/normalisation keywords found; authoritative or scholarly source hint,unclear_or_methods_only,capex; realised_or_audit,government_or_audit,,high,True,verify cited benchmark and extract metric/page
cmp_src_0004,sadowski_2019_doi_10_1177_2053951718820549,Sadowski (2019) [DOI: 10.1177/2053951718820549],,final synthesis evidence table,,,,final_synthesis_master_table,"Claim/benchmark to verify: Digital infrastructure operates as extractive capital, absorbing local resources with zero local clustering. | Quality note: High Quality / Low Risk (Theoretical)",,15,appears in final synthesis evidence table; asset-class keywords found; authoritative or scholarly source hint,data_centre_benchmark,context_only,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0005,10.1177/0047287506288870,Economic Impact Studies: Instruments for Political Shenanigans?,2006,Journal of Travel Research,John L. Crompton,10.1177/0047287506288870,https://doi.org/10.1177/0047287506288870,verified_sources,,,14,has DOI; asset-class keywords found; employment/capex/normalisation keywords found; authoritative or scholarly source hint,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0006,masanet_et_al_2020_doi_10_1126_science_aba3758,Masanet et al. (2020) [DOI: 10.1126/science.aba3758],,final synthesis evidence table,,,,final_synthesis_master_table,"Claim/benchmark to verify: Documents extreme energy density requiring massive, publicly subsidised grid upgrades. | Quality note: High Quality / Low Risk (Contextual)",,12,appears in final synthesis evidence table; asset-class keywords found,energy_or_utility,context_only,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0007,minnesota_lbo_2026,Minnesota LBO (2026),,final synthesis evidence table,,,,final_synthesis_master_table,Claim/benchmark to verify: -2.0% ROI on data centre tax exemptions; 76% of development would have occurred without the subsidy. | Quality note: High Quality / Low Risk (Empirical Evaluation),,12,appears in final synthesis evidence table; asset-class keywords found,data_centre_benchmark,context_only,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0008,siddik_et_al_2021_doi_10_1088_1748_9326_abfba1,Siddik et al. (2021) [DOI: 10.1088/1748-9326/abfba1],,final synthesis evidence table,,,,final_synthesis_master_table,Claim/benchmark to verify: Highlights high water scarcity footprint and unpriced utility concessions granted to data centres. | Quality note: High Quality / Low Risk (Empirical),,12,appears in final synthesis evidence table; asset-class keywords found,data_centre_benchmark,context_only,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0009,slattery_zidar_2020_doi_10_1257_jep_34_2_90,Slattery & Zidar (2020) [DOI: 10.1257/jep.34.2.90],,final synthesis evidence table,,,,final_synthesis_master_table,"Claim/benchmark to verify: Establishes baseline cost per job for corporate subsidies at $12,000 to $100,000. | Quality note: High Quality / Low Risk (Foundational benchmark)",,12,appears in final synthesis evidence table; employment/capex/normalisation keywords found,unclear_or_methods_only,capex,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0010,10.5281/zenodo.21005482,A Strategic Framework for Copyright-Free Science: Dismantling Publishing Monopolies in the Knowledge Commons,2026.0,Zenodo,"Brewer, Mark Anthony",10.5281/zenodo.21005482,https://zenodo.org/doi/10.5281/zenodo.21005482,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0011,10.5281/zenodo.21005483,A Strategic Framework for Copyright-Free Science: Dismantling Publishing Monopolies in the Knowledge Commons,2026.0,Zenodo,"Brewer, Mark Anthony",10.5281/zenodo.21005483,https://zenodo.org/doi/10.5281/zenodo.21005483,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0012,10.1016/j.rser.2018.05.008,Assessing the regional economic impacts of renewable energy sources – A literature review,2018,Renewable and Sustainable Energy Reviews,Simon Jenniches,10.1016/j.rser.2018.05.008,https://doi.org/10.1016/j.rser.2018.05.008,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,energy_or_utility; public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0013,10.5281/zenodo.21024220,Building part specific embodied carbon dataset for residential buildings in Finland,2026.0,Zenodo,"Kiernicki, Chloe; Kolkwitz, Mario; Kaasalainen, Tapio; Huuhka, Satu",10.5281/zenodo.21024220,10.5281/zenodo.21024220,datasets,construction employment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,high_rise_or_office,construction_jobs,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0014,10.3886/icpsr00034,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984.0,ICPSR - Interuniversity Consortium for Political and Social Research,"Hofferbert, Richard I.",10.3886/icpsr00034,https://www.icpsr.umich.edu/web/ICPSR/studies/34,datasets,jobs per million investment | ,verified,11,citation audit verified; has DOI; employment/capex/normalisation keywords found,unclear_or_methods_only,capex,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0015,10.5281/zenodo.21028567,"Comprehensive Topographic and Land Use Survey of Areas 1 and 2 at the University of São Paulo, São Carlos Campus, Brazil, Using Metashape and GIS",2026.0,Zenodo,"Marinho e Silva, Gabriel; Mendiondo, Eduardo Mario",10.5281/zenodo.21028567,10.5281/zenodo.21028567,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0016,10.3384/diss.diva-170231,Construction Logistics in a City Development Setting,2020,Linköping Studies in Science and Technology. Dissertations,Mats Janné,10.3384/diss.diva-170231,https://doi.org/10.3384/diss.diva-170231,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,warehouse_or_logistics,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0017,10.5281/zenodo.21120056,Dataset Impact of IoT-Based Flood Monitoring Applications on User Satisfaction: A Case Study of Flood-Prone Zones in Indonesia.,2026.0,Zenodo,"Forenzo, Vittorio",10.5281/zenodo.21120056,10.5281/zenodo.21120056,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0018,10.5281/zenodo.21018525,Dataset for: Towards Realistic Representation of Forest Management and Stand Age Dynamics in a Terrestrial Biosphere Model (DLEM): Impacts on Forest Carbon Dynamics in the Southeastern United States,2026.0,Zenodo,"Li, Xiaoyong; Tian, Hanqin; Pan, Shufen; Shi, Hao; You, Yongfa; Hui, Dafeng",10.5281/zenodo.21018525,10.5281/zenodo.21018525,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0019,10.5281/zenodo.20760172,"Dataset related to: ""Exploring the Role of sEMG Monitoring of Facial and Cervical Muscles in Parkinson's Disease Patients Undergoing Speech Therapy: A Feasibility Study """,2026.0,Zenodo,"Boccali, Elisa; Amitrano, Federica; Coccia, Armando; Olivares, Adriana; Comini, Laura; D'Addio, Giovanni",10.5281/zenodo.20760172,10.5281/zenodo.20760172,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0020,10.5281/zenodo.20759815,"Dataset related to: ""The Association between Physical Activity and Fitness in Patients with Heart Failure and Type 2 Diabetes Mellitus and the Influence of a Telemedicine Program """,2026.0,Zenodo,"Paneroni, Mara; Bernocchi, Palmira; Salvi, Beatrice; Simonelli, Carla; Fiorini Aloisi, Gloria; Viscardi, Luigina",10.5281/zenodo.20759815,10.5281/zenodo.20759815,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0021,10.52324/001c.8004,"Economic Development Incentives, Reported Job Creation, and Local Employment",2018,Review of Regional Studies,Paul F. Byrne,10.52324/001c.8004,https://doi.org/10.52324/001c.8004,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0022,10.5281/zenodo.17556692,GLAM – The Global Impact Assessment Method – BETA,2026.0,Zenodo,"Kaplan, Eléonore; Boivent, Solène; Dorber, Martin; Jolliet, Olivier",10.5281/zenodo.17556692,https://zenodo.org/doi/10.5281/zenodo.17556692,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0023,10.4232/1.14731,German Longitudinal Environmental Study (GLEN),2026.0,GESIS,GLEN,10.4232/1.14731,https://search.gesis.org/research_data/ZA9085?doi=10.4232/1.14731,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0024,10.5281/zenodo.21115261,Global monthly catches from tuna fisheries by 1° and 5° grids (1950-2024) (FIRMS level 0),2026.0,Zenodo,FIRMS Global Tuna Atlas Technical Working Group,10.5281/zenodo.21115261,10.5281/zenodo.21115261,datasets,jobs per million investment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,energy_or_utility,capex,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0025,10.5281/zenodo.21114897,Global monthly catches from tuna fisheries by 5° grid (1950-2024) (FIRMS level 0),2026.0,Zenodo,FIRMS Global Tuna Atlas Technical Working Group,10.5281/zenodo.21114897,10.5281/zenodo.21114897,datasets,jobs per million investment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,energy_or_utility,capex,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0026,10.1007/s10311-023-01675-2,Green building practices to integrate renewable energy in the construction sector: a review,2023,Environmental Chemistry Letters,Lin Chen; Ying Hu; Ruiyi Wang; Xiang Li; Zhonghao Chen; Jianmin Hua; Ahmed I. Osman; Mohamed Farghali; Lepeng Huang; Jingjing Li; Liang Dong; David W. Rooney; Pow-Seng Yap,10.1007/s10311-023-01675-2,https://doi.org/10.1007/s10311-023-01675-2,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,energy_or_utility; public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
